GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,PLAYER_NAME
By Year,2023-24,-1,TOT,2024-02-26T00:00:00,51,26,25,0.51,1125.98,171,346,0.494,20,76,0.263,44,71,0.62,136,198,334,69,55,33,40,24,96,58,406,7,1074.3,7,0,975.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Precious Achiuwa
By Year,2023-24,1610612752,NYK,2024-02-26T00:00:00,26,18,8,0.692,689.095,93,176,0.528,7,29,0.241,20,29,0.69,86,112,198,25,26,17,28,11,56,27,213,60,597.1,5,0,533.0,4,4,1,1,4,4,4,2,4,4,4,5,5,2,3,4,4,5,5,4,3,1,2,5,4,2,4,3,1,4,Precious Achiuwa
By Year,2023-24,1610612761,TOR,2023-12-29T00:00:00,25,8,17,0.32,436.885,78,170,0.459,13,47,0.277,24,42,0.571,50,86,136,44,29,16,12,13,40,31,193,-53,477.2,2,0,442.0,5,5,2,5,5,5,5,4,3,3,2,4,4,4,5,5,5,3,4,5,5,2,1,4,5,4,5,5,1,5,Precious Achiuwa
By Year,2023-24,1610612748,MIA,2024-02-26T00:00:00,47,27,20,0.574,1627.5916666666667,366,711,0.515,1,12,0.083,229,293,0.782,106,390,496,196,117,51,47,35,114,257,962,14,2028.2,31,2,1851.0,7,7,1,3,6,5,5,6,4,3,4,5,5,3,7,6,6,4,6,6,5,3,1,5,5,6,5,3,2,5,Bam Adebayo
By Year,2023-24,-1,TOT,2024-02-26T00:00:00,57,28,29,0.491,1096.615,121,282,0.429,53,159,0.333,21,27,0.778,39,97,136,53,41,30,31,24,73,29,316,-110,700.7,0,0,680.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Ochai Agbaji
By Year,2023-24,1610612761,TOR,2024-02-26T00:00:00,6,3,3,0.5,93.22833333333334,15,33,0.455,6,17,0.353,6,7,0.857,4,6,10,6,7,3,2,3,7,5,42,11,71.0,0,0,74.0,3,3,1,1,3,3,3,1,3,3,2,3,3,1,3,3,3,3,3,3,3,1,1,3,3,1,3,1,1,3,Ochai Agbaji
By Year,2023-24,1610612762,UTA,2024-02-04T00:00:00,51,25,26,0.49,1003.3866666666667,106,249,0.426,47,142,0.331,15,20,0.75,35,91,126,47,34,27,29,21,66,24,274,-121,629.7,0,0,606.0,2,2,2,3,2,2,2,3,2,2,3,2,2,3,2,1,1,2,2,1,1,3,2,2,2,3,2,1,1,2,Ochai Agbaji
By Year,2023-24,1610612763,MEM,2024-02-26T00:00:00,46,18,28,0.391,1135.1583333333333,179,416,0.43,76,222,0.342,37,62,0.597,53,202,255,99,50,30,31,22,68,64,471,-132,1058.5,4,0,1023.0,2,3,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,3,2,1,1,2,Santi Aldama
By Year,2023-24,1610612750,MIN,2024-02-24T00:00:00,57,40,17,0.702,1304.3666666666666,144,339,0.425,83,221,0.376,29,38,0.763,23,90,113,143,55,47,29,18,107,58,400,169,923.1,0,0,891.0,1,1,3,1,2,3,3,2,2,2,2,3,4,2,2,3,3,1,3,1,1,4,7,3,3,1,3,2,1,3,Nickeil Alexander-Walker
By Year,2023-24,1610612756,PHX,2024-02-25T00:00:00,52,31,21,0.596,1722.765,225,443,0.508,134,276,0.486,93,105,0.886,35,171,206,164,69,44,34,20,113,103,677,174,1335.2,1,0,1337.0,3,3,3,3,3,3,3,1,3,3,1,2,2,2,2,3,3,1,2,4,1,4,5,2,3,3,2,1,1,3,Grayson Allen
